,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__max_features,param_decisiontreeclassifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.25448179244995117,0.017423827694670085,0.051580953598022464,0.0032295741071627403,,auto,2,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 2}",0.27619047619047615,0.1111111111111111,0.27579365079365076,0.5988095238095238,0.2439153439153439,0.30116402116402113,0.16078414010882547,40
1,0.23440175056457518,0.0033189957562411105,0.0530205249786377,0.004747516524375592,,auto,5,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 5}",0.6166666666666666,0.2156084656084656,0.2645502645502646,0.2507936507936508,0.287037037037037,0.3269312169312169,0.14671008389487514,24
2,0.23557982444763184,0.0053704878642454055,0.049459648132324216,0.004564915592897393,,auto,10,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.4063492063492064,0.2142857142857143,0.4305555555555555,0.5388888888888889,0.45436507936507947,0.40888888888888897,0.10706481578717372,1
3,0.2376711845397949,0.005466638200825934,0.04962515830993652,0.0012650525754093153,,auto,20,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.20134680134680136,0.1346153846153846,0.20370370370370372,0.2833333333333334,0.22222222222222224,0.2090442890442891,0.04758141445426292,69
4,0.23686685562133789,0.007524109787557502,0.04947047233581543,0.0006387154153980968,,sqrt,2,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_split': 2}",0.3833333333333333,0.2571428571428572,0.1785714285714286,0.38055555555555554,0.35912698412698413,0.31174603174603177,0.08102027964828133,34
5,0.2333578109741211,0.004438619895094513,0.049115896224975586,0.0007123382512790102,,sqrt,5,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_split': 5}",0.38888888888888884,0.16666666666666666,0.4920634920634921,0.3833333333333333,0.22486772486772488,0.3311640211640211,0.11857547762057771,18
6,0.24265379905700685,0.01981511224837255,0.04984936714172363,0.0033729825426438683,,sqrt,10,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_split': 10}",0.5900793650793651,0.24523809523809526,0.20952380952380956,0.39206349206349206,0.14074074074074075,0.31552910052910055,0.15997767263940396,31
7,0.25243797302246096,0.019273434036846872,0.0485504150390625,0.0016845465028676565,,sqrt,20,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_split': 20}",0.24523809523809526,0.202020202020202,0.25054112554112556,0.31984126984126987,0.27037037037037037,0.2576022126022126,0.03828528789970338,59
8,0.23953866958618164,0.006364704265089964,0.048323440551757815,0.001918530881195209,,log2,2,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_split': 2}",0.0892857142857143,0.28863636363636364,0.44166666666666665,0.5063492063492064,0.31984126984126987,0.3291558441558442,0.14375148109678254,22
9,0.24207124710083008,0.005015960629674664,0.04851255416870117,0.0012772310625936566,,log2,5,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_split': 5}",0.2809523809523809,0.2657407407407408,0.3166666666666666,0.32142857142857145,0.41111111111111115,0.3191798941798942,0.05055651767321306,30
10,0.23776521682739257,0.005405463366709286,0.050095987319946286,0.0009123981339896827,,log2,10,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_split': 10}",0.32857142857142857,0.12962962962962962,0.2439153439153439,0.2115079365079365,0.48333333333333334,0.2793915343915344,0.12025497113832885,50
11,0.23823485374450684,0.004473374252098997,0.04917469024658203,0.0006866976863850924,,log2,20,"{'decisiontreeclassifier__max_depth': None, 'decisiontreeclassifier__max_features': 'log2', 'decisiontreeclassifier__min_samples_split': 20}",0.041666666666666664,0.1365079365079365,0.12698412698412698,0.26666666666666666,0.37777777777777777,0.1899206349206349,0.11829912848134473,70
12,0.23777194023132325,0.00702895903372517,0.05021061897277832,0.0013317560534086166,100,auto,2,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 2}",0.30079365079365084,0.2833333333333334,0.335978835978836,0.30079365079365084,0.2148148148148148,0.2871428571428572,0.04000874739884689,45
13,0.23785409927368165,0.005223127161145631,0.05006566047668457,0.0007242193999396938,100,auto,5,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 5}",0.46666666666666673,0.3365079365079365,0.1216931216931217,0.45436507936507936,0.10317460317460318,0.2964814814814815,0.15710561082114516,41
