,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__max_features,param_decisiontreeclassifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.23958005905151367,0.01060163291563952,0.05016269683837891,0.0023321088077676373,75,auto,10,"{'decisiontreeclassifier__max_depth': 75, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.28703703703703703,0.27777777777777773,0.37905982905982905,0.35555555555555557,0.337037037037037,0.3272934472934473,0.03910453344565235,5
1,0.23142151832580565,0.0033990172650322373,0.05282578468322754,0.004721532504302666,75,auto,15,"{'decisiontreeclassifier__max_depth': 75, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 15}",0.2809523809523809,0.3333333333333333,0.3659090909090909,0.2722222222222222,0.2377899877899878,0.29804140304140303,0.04569560419595628,11
2,0.23410134315490722,0.005391907808290481,0.04875798225402832,0.0017008526061964022,75,auto,20,"{'decisiontreeclassifier__max_depth': 75, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.2472222222222222,0.45,0.14444444444444446,0.35833333333333334,0.31457431457431456,0.3029148629148629,0.10301041790555426,10
3,0.23327369689941407,0.004023321668545988,0.04916534423828125,0.0011706990032341062,75,auto,25,"{'decisiontreeclassifier__max_depth': 75, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 25}",0.5317460317460317,0.17777777777777778,0.30317460317460315,0.21798941798941804,0.2896825396825397,0.30407407407407405,0.12280371988795678,9
4,0.22988467216491698,0.005966292388198122,0.04928879737854004,0.0007726094401791318,75,auto,30,"{'decisiontreeclassifier__max_depth': 75, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 30}",0.16025641025641024,0.20555555555555557,0.1693121693121693,0.17023809523809527,0.11574074074074074,0.16422059422059423,0.028763603501305187,25
5,0.23342385292053222,0.004281526638940079,0.049386787414550784,0.0009112200318931355,100,auto,10,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.16666666666666666,0.3026455026455026,0.4962962962962963,0.26666666666666666,0.5215608465608466,0.3507671957671957,0.13684355403979734,1
6,0.23225560188293456,0.004705605120413864,0.05144834518432617,0.002450559489604443,100,auto,15,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 15}",0.25079365079365085,0.3642857142857143,0.18803418803418803,0.3468614718614719,0.18452380952380953,0.2668997668997669,0.07634511361976398,19
7,0.23787264823913573,0.00593076837319954,0.04871377944946289,0.0012836180467178555,100,auto,20,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.2962962962962963,0.373015873015873,0.18055555555555555,0.37671957671957673,0.375,0.32031746031746033,0.07623504171351918,6
8,0.23317151069641112,0.006956173677990086,0.04848556518554688,0.0011668131835481986,100,auto,25,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 25}",0.3,0.4342592592592592,0.07326007326007326,0.07407407407407407,0.46613756613756613,0.2695461945461945,0.1693774404278104,18
9,0.23411989212036133,0.005545179363394438,0.04891047477722168,0.0006203736752532449,100,auto,30,"{'decisiontreeclassifier__max_depth': 100, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 30}",0.2259259259259259,0.27539682539682536,0.22777777777777775,0.22870370370370371,0.08158508158508158,0.20787786287786286,0.06582420792568235,23
10,0.22929883003234863,0.0031767345731276595,0.05173649787902832,0.00484464151318298,125,auto,10,"{'decisiontreeclassifier__max_depth': 125, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 10}",0.3933862433862434,0.3491452991452992,0.38412698412698415,0.037037037037037035,0.32222222222222224,0.29718355718355716,0.13252719391901457,12
11,0.23536124229431152,0.0044854252099007326,0.048319673538208006,0.0012722252152969106,125,auto,15,"{'decisiontreeclassifier__max_depth': 125, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 15}",0.46296296296296297,0.3253968253968254,0.25,0.46666666666666673,0.22857142857142856,0.34671957671957676,0.10165446412994082,2
12,0.23351964950561524,0.004736250781869186,0.04930381774902344,0.0007449701776173016,125,auto,20,"{'decisiontreeclassifier__max_depth': 125, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 20}",0.22251082251082255,0.2833333333333333,0.4039682539682539,0.28095238095238095,0.3624338624338625,0.31063973063973066,0.06447717094956623,7
13,0.23488669395446776,0.006195028073624404,0.05004720687866211,0.003760191511625402,125,auto,25,"{'decisiontreeclassifier__max_depth': 125, 'decisiontreeclassifier__max_features': 'auto', 'decisiontreeclassifier__min_samples_split': 25}",0.06060606060606061,0.39368686868686864,0.31114718614718617,0.3341269841269841,0.38600288600288596,0.29711399711399705,0.12225420215684894,13
