,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_multinomialnb__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.25479698181152344,0.004809132151126959,0.05134668350219727,0.0013660622087806379,0.1,{'multinomialnb__alpha': 0.1},0.8396825396825397,0.7706349206349206,0.7130952380952382,0.817857142857143,0.6567460317460317,0.7596031746031746,0.06733573931326287,1
1,0.2471688747406006,0.006664365010140952,0.05328106880187988,0.005016462909827376,0.2,{'multinomialnb__alpha': 0.2},0.8396825396825397,0.7706349206349206,0.7130952380952382,0.75,0.5833333333333334,0.7313492063492064,0.0846985673828339,2
2,0.24554004669189453,0.005556657666327433,0.04881992340087891,0.001971769001356409,0.3,{'multinomialnb__alpha': 0.3},0.8396825396825397,0.7706349206349206,0.7130952380952382,0.75,0.5396825396825397,0.7226190476190476,0.1003150743135981,3
3,0.2556735992431641,0.012396078240049204,0.04969325065612793,0.0010466026713200332,0.4,{'multinomialnb__alpha': 0.4},0.8396825396825397,0.7706349206349206,0.6555555555555556,0.6527777777777778,0.5396825396825397,0.6916666666666667,0.1039809758362214,4
4,0.24304141998291015,0.006686449658065172,0.05011053085327148,0.0012480405282231043,0.5,{'multinomialnb__alpha': 0.5},0.8916666666666666,0.703968253968254,0.6555555555555556,0.6527777777777778,0.5063492063492064,0.682063492063492,0.12397511311634128,5
5,0.24336538314819336,0.006569796063288912,0.05023193359375,0.0012910467809626627,0.6,{'multinomialnb__alpha': 0.6},0.8916666666666666,0.703968253968254,0.6555555555555556,0.5583333333333333,0.5063492063492064,0.6631746031746031,0.13380335710431926,6
6,0.24404640197753907,0.0050656573497134755,0.049851179122924805,0.001506639860811893,1.0,{'multinomialnb__alpha': 1.0},0.8444444444444444,0.6333333333333333,0.6555555555555556,0.5583333333333333,0.573015873015873,0.6529365079365078,0.10237529207928775,7
7,0.24947786331176758,0.006169158202528025,0.04851312637329101,0.0014102460558093925,2.0,{'multinomialnb__alpha': 2.0},0.7833333333333333,0.6333333333333333,0.4583333333333333,0.47301587301587306,0.573015873015873,0.5842063492063492,0.11865713737885648,8
8,0.248642635345459,0.007333648471274613,0.04836406707763672,0.0008642275715586076,3.0,{'multinomialnb__alpha': 3.0},0.7833333333333333,0.6333333333333333,0.4381313131313131,0.37424242424242427,0.5007936507936509,0.545966810966811,0.14637906213671623,9
9,0.2238184928894043,0.04069871601278388,0.045925569534301755,0.00801316686643772,10.0,{'multinomialnb__alpha': 10.0},0.576923076923077,0.48333333333333334,0.4197802197802198,0.19444444444444442,0.35479797979797983,0.4058558108558109,0.1286563897621327,10
