,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,param_logisticregression__penalty,param_logisticregression__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.546718215942383,0.06804083776778691,0.04970054626464844,0.0018490588917825358,10,l2,lbfgs,"{'logisticregression__C': 10, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.725,0.6194444444444445,0.6666666666666666,0.7134920634920635,0.07362624454031053,10
1,1.6231439590454102,0.04878006334927496,0.05180301666259766,0.002633893906549743,11,l2,lbfgs,"{'logisticregression__C': 11, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.725,0.6194444444444445,0.6666666666666666,0.7134920634920635,0.07362624454031053,10
2,1.5364259719848632,0.04667705997924153,0.05038785934448242,0.0012933812245236773,12,l2,lbfgs,"{'logisticregression__C': 12, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
3,1.6635027885437013,0.056186327540608795,0.05013566017150879,0.001092084262972118,13,l2,lbfgs,"{'logisticregression__C': 13, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
4,1.6916564464569093,0.06724038537502171,0.049339914321899415,0.0021358205016599736,14,l2,lbfgs,"{'logisticregression__C': 14, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
5,1.726604127883911,0.04635661293420629,0.049363565444946286,0.0022662881235729743,15,l2,lbfgs,"{'logisticregression__C': 15, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
6,1.7004364490509034,0.07392038279798391,0.050608348846435544,0.0008143966221025714,16,l2,lbfgs,"{'logisticregression__C': 16, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
7,1.7065100193023681,0.1208824765457821,0.04987864494323731,0.0013939624542896709,17,l2,lbfgs,"{'logisticregression__C': 17, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
8,1.7406217575073242,0.07993369281332033,0.05070958137512207,0.0011063528907537974,18,l2,lbfgs,"{'logisticregression__C': 18, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
9,1.8026181221008302,0.10475245705964309,0.050181102752685544,0.001376662366239686,19,l2,lbfgs,"{'logisticregression__C': 19, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
10,1.6097048282623292,0.2223941326617638,0.04604802131652832,0.00898439207127842,20,l2,lbfgs,"{'logisticregression__C': 20, 'logisticregression__penalty': 'l2', 'logisticregression__solver': 'lbfgs'}",0.8396825396825398,0.7166666666666667,0.7335978835978837,0.6194444444444445,0.6666666666666666,0.7152116402116403,0.0739745173752859,1
